,Unnamed: 0,Last_updated,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Published by,Audience,Recall type,Identification number
3849,0,2018-06-13,NEWMAR,Motorhome recalled by NEWMAR,Vehicle - Structure,1,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018314
3850,0,2018-06-15,FOREST RIVER,Motorhome recalled by FOREST RIVER,Vehicle - Brakes,1,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2017665
3851,0,2018-06-18,DOEPKER,Heavy Trailer recalled by DOEPKER,Vehicle - Structure,2,Automotive recall,Vehicles - Heavy Trailer,Transport Canada,General public,automotive recall,2018156
3852,0,2018-06-18,TECHNO,Tire recalled by TECHNO PNEU,Vehicle - Tires,15,Automotive recall,Vehicles - Tire,Transport Canada,General public,automotive recall,2018321
3853,0,2018-06-18,FREIGHTLINER,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Vehicle - Brakes,2,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2018333
3854,0,2018-06-20,FOREST RIVER,RV Trailer recalled by FOREST RIVER,Vehicle - Suspension,2,Automotive recall,Vehicles - RV Trailer,Transport Canada,General public,automotive recall,2018300
3855,0,2018-06-20,NEWMAR,Motorhome recalled by NEWMAR,Vehicle - Visual System,4,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018303
3856,0,2018-06-20,STARCRAFT BUS,Bus recalled by FOREST RIVER,Vehicle - Suspension,1,Automotive recall,Vehicles - Bus,Transport Canada,General public,automotive recall,2018304
3857,0,2018-06-20,FOREST RIVER,RV Trailer recalled by FOREST RIVER,Vehicle - Tires,1,Automotive recall,Vehicles - RV Trailer,Transport Canada,General public,automotive recall,2018306
3858,0,2018-06-21,THOR MOTOR COACH,Motorhome recalled by THOR MOTOR COACH,Vehicle - Electrical,5,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018336
3859,0,2018-06-21,FOREST RIVER,Bus recalled by FOREST RIVER,Vehicle - Steering,11,Automotive recall,Vehicles - Bus,Vehicles - Motorhome,Transport Canada,automotive recall,2018138
3860,0,2018-06-22,BMW,Motorcycle recalled by BMW,Vehicle - Structure,2,Automotive recall,Vehicles - Motorcycle,Transport Canada,General public,automotive recall,2018331
3861,0,2018-06-22,SIMARD SUSPENSIONS,Truck - Med. & H.D. recalled by SIMARD SUSPENSIONS,Vehicle - Wheels,3,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2018308
3862,0,2018-06-22,CHEVROLET,Car recalled by GENERAL MOTORS,Vehicle - Airbag,2,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018322
3863,0,2018-06-22,CHRYSLER,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Powertrain,2,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018323
